ID,鉄道事業者名,鉄道駅の名称,路線名,都道府県,市,段差への対応,プラットホームの数,段差が解消されているプラットホームの数,エレベーターの設置基数,移動等円滑化基準に適合しているエレベーターの設置基数,エスカレーターの設置基数,移動等円滑化基準に適合しているエスカレーターの設置基数,その他の昇降機の設置基数,傾斜路の設置箇所数,移動等円滑化基準に適合している傾斜路の設置箇所数,視覚障害者誘導用ブロックの設置の有無,案内設備の設置の有無,障害者対応型便所の設置の有無,障害者対応型改札口の設置の有無,障害者対応型券売機の設置の有無,車いす使用者の円滑な乗降が可能なプラットホームの数,転落防止のための設備の設置の有無
15,JR東日本,駒込,山手,東京都,豊島区,1,1,1,1,1,2,3,3,3,3,1,1,1,1,1,3,1
16,JR東日本,大崎,山手,東京都,品川区,1,4,4,5,4,16,3,3,2,3,1,1,1,1,1,3,1
17,JR東日本,目白,山手,東京都,豊島区,1,1,1,1,1,2,3,3,3,3,1,1,1,1,1,3,1
18,JR東日本,高田馬場,山手,東京都,新宿区,1,1,1,2,1,2,3,3,3,3,1,1,1,1,1,3,1
19,JR東日本,新大久保,山手,東京都,新宿区,1,1,1,3,3,3,3,1,3,3,1,3,2,1,1,3,1
20,JR東日本,新宿,山手・中央本・中央(各駅停車)・埼京,東京都,新宿区,1,8,8,13,13,47,26,4,3,3,1,1,1,1,1,3,1
21,JR東日本,原宿,山手,東京都,渋谷区,1,1,1,1,1,2,1,3,3,3,1,1,1,1,1,3,1
22,JR東日本,渋谷,山手・埼京,東京都,渋谷区,1,3,3,5,5,14,1,3,3,3,1,1,1,1,1,3,1
23,JR東日本,恵比寿,山手・埼京,東京都,渋谷区,1,2,2,3,3,13,4,3,1,3,1,1,1,1,1,3,1
24,JR東日本,目黒,山手,東京都,品川区,1,1,1,1,1,4,3,3,3,3,1,1,1,1,1,3,1
25,JR東日本,五反田,山手,東京都,品川区,1,1,1,2,2,4,3,3,3,3,1,1,1,1,1,3,1
26,JR東日本,板橋,埼京,東京都,板橋区,3,1,1,3,3,3,3,3,3,3,1,3,2,1,1,3,1
27,JR東日本,十条,埼京,東京都,北区,1,2,2,1,1,3,2,3,1,3,1,1,1,1,1,3,1
28,JR東日本,神田,中央本・山手・京浜東北,東京都,千代田区,1,3,3,6,6,15,3,3,3,3,1,3,1,1,1,3,1
29,JR東日本,御茶ノ水,中央本・中央,東京都,千代田区,1,2,2,3,3,3,3,2,3,3,1,1,2,1,1,3,1
30,JR東日本,水道橋,中央,東京都,千代田区,1,2,2,2,2,1,1,2,3,3,1,3,1,1,1,3,1
31,JR東日本,飯田橋,中央,東京都,千代田区,1,1,1,1,1,2,1,3,3,3,1,1,1,1,1,3,1
32,JR東日本,市ケ谷,中央,東京都,千代田区,1,1,1,1,1,1,1,3,3,3,1,3,1,1,1,3,1
33,JR東日本,四ツ谷,中央本・中央,東京都,新宿区,1,2,2,2,2,5,3,3,3,3,1,1,1,1,1,3,1
34,JR東日本,信濃町,中央,東京都,新宿区,1,1,1,1,1,2,2,3,3,3,1,1,1,1,1,3,1
35,JR東日本,千駄ケ谷,中央,東京都,渋谷区,1,1,1,1,1,2,2,3,3,3,1,3,1,1,1,3,1
36,JR東日本,代々木,山手・中央,東京都,渋谷区,1,3,3,3,3,4,3,3,1,1,1,1,1,1,1,3,1
